pdf,study,field,status,priority,legacy_value_json,legacy_normalized_json,llm_a_value_json,llm_a_normalized_json,llm_b_value_json,llm_b_normalized_json,agreement_pattern,reviewed_value_json,decision_status,reviewer,decision_reason,evidence_quote,page,notes,suggested_value_json,suggested_source,suggestion_confidence,suggested_decision_status,review_action,suggestion_reason,needs_pdf_check,alignment_issue,alignment_evidence
Cunningham 2009.pdf,Cunningham 2009,Type of treatments,two_llms_agree_legacy_diff,high,"""Cognitive behavioral treatment; self-help""","[""cognitive behavioral therapy"", ""self-help""]","""computer-based cognitive behavioural therapy (CBT) via Cool Teens CD-ROM""","[""cognitive behavioral therapy""]","[""computer-based cognitive behavioural therapy (CBT)""]","[""cognitive behavioral therapy""]",llm_a=llm_b; legacy differs,"[""computer-based cognitive behavioural therapy (CBT)""]",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,The Cool Teens CD-ROM is a multimedia program; the content is based on material from the Cool Kids anxiety program that delivers cognitive behavioural skills.,2,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"[""computer-based cognitive behavioural therapy (CBT)""]",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Ehrenreich 2009.pdf,Ehrenreich 2009,Type of treatments,two_llms_agree_legacy_diff,high,"""CBT, emotion-focused""","[""cognitive behavioral therapy"", ""emotion-focused""]","""Unified Protocol for the Treatment of Emotional Disorders (modified version for adolescents)""","[""unified protocol for the treatment of emotional disorders""]","[""Unified Protocol for the Treatment of Emotional Disorders (modified adult protocol)""]","[""unified protocol for the treatment of emotional disorders""]",llm_a=llm_b; legacy differs,"[""Unified Protocol for the Treatment of Emotional Disorders (modified adult protocol)""]",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,"Utilizing the Unified Protocol for the Treatment of Emotional Disorders originally developed for adults, we conducted a multiple-baseline design study of a slightly modified version.",2,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"[""Unified Protocol for the Treatment of Emotional Disorders (modified adult protocol)""]",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Esveldt-Dawson 1982.pdf,Esveldt-Dawson 1982,Type of treatments,two_llms_agree_legacy_diff,high,"""Behavioral treatment""","[""behavioral therapy""]","[""instructions"", ""performance feedback"", ""participant modeling"", ""social reinforcement""]","[""instructions"", ""participant modeling"", ""performance feedback"", ""social reinforcement""]","[""participant modeling"", ""social reinforcement"", ""performance feedback"", ""instructions""]","[""instructions"", ""participant modeling"", ""performance feedback"", ""social reinforcement""]",llm_a=llm_b; legacy differs,"[""participant modeling"", ""social reinforcement"", ""performance feedback"", ""instructions""]",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,"Treatment consisted of instructions, performance feedback, participant modeling and social reinforcement.",1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"[""participant modeling"", ""social reinforcement"", ""performance feedback"", ""instructions""]",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Jacob 2013.pdf,Jacob 2013,Type of treatments,two_llms_agree_legacy_diff,high,"""Behavioral treatment""","[""behavioral therapy""]","""Behavioural activation (BA)""","[""behavioral activation""]","""Behavioural Activation (BA)""","[""behavioral activation""]",llm_a=llm_b; legacy differs,"""Behavioural Activation (BA)""",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,"Results from this case series provide preliminary support for BA as a treatment for low-income, African American adolescents with MDD.",8,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"""Behavioural Activation (BA)""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Leigh 2016.pdf,Leigh 2016,Type of treatments,two_llms_agree_legacy_diff,high,"""Cognitive therapy""","[""cognitive therapy""]","""Cognitive Therapy for Social Anxiety Disorder (CT-SAD) adapted for adolescents""","[""cognitive therapy for social anxiety disorder adapted for adolescents""]","""Cognitive Therapy for Social Anxiety Disorder (CT-SAD) adapted for adolescents""","[""cognitive therapy for social anxiety disorder adapted for adolescents""]",llm_a=llm_b; legacy differs,"""Cognitive Therapy for Social Anxiety Disorder (CT-SAD) adapted for adolescents""",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,Aims: To adapt CT-SAD for use with adolescents and conduct a pilot case series.,1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"""Cognitive Therapy for Social Anxiety Disorder (CT-SAD) adapted for adolescents""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Lumpkin 2002.pdf,Lumpkin 2002,Type of treatments,two_llms_agree_legacy_diff,high,"""CBT""","[""cognitive behavioral therapy""]","""Group Cognitive Behavioral Therapy (GCBT)""","[""group cognitive behavioral therapy""]","[""Group Cognitive Behavioral Therapy (GCBT)""]","[""group cognitive behavioral therapy""]",llm_a=llm_b; legacy differs,"[""Group Cognitive Behavioral Therapy (GCBT)""]",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,This study investigated the efficacy of Group Cognitive Behavioral Therapy (GCBT) in the treatment of anxiety disorders in children and adolescents.,1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"[""Group Cognitive Behavioral Therapy (GCBT)""]",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Saigh 1987.pdf,Saigh 1987,Type of treatments,two_llms_agree_legacy_diff,high,"""Behavioral treatment""","[""behavioral therapy""]","""in vitro flooding""","[""in vitro flooding""]","""in vitro flooding""","[""in vitro flooding""]",llm_a=llm_b; legacy differs,"""in vitro flooding""",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,The general efficacy of this procedure is concordant with results reported when older PTSD cases received similar in vitro flooding packages.,11,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"""in vitro flooding""",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Storch 2015 - A Case Series of Cognitive-Behavioral Therapy Augmentation of Antidepressant Medication for Anxiety in Children With Autism Spectrum Disorders.pdf,Storch 2015,Type of treatments,two_llms_agree_legacy_diff,high,"""CBT""","[""cognitive behavioral therapy""]","[""Cognitive-Behavioral Therapy (CBT)"", ""Serotonin Reuptake Inhibitor (SRI) medication""]","[""cognitive behavioral therapy"", ""serotonin reuptake inhibitor medication""]","[""Cognitive-Behavioral Therapy"", ""Serotonin Reuptake Inhibitor medication""]","[""cognitive behavioral therapy"", ""serotonin reuptake inhibitor medication""]",llm_a=llm_b; legacy differs,"[""Cognitive-Behavioral Therapy"", ""Serotonin Reuptake Inhibitor medication""]",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,Seven youth whose anxiety remained problematic following serotonin reuptake inhibitor treatment received 16 sessions of weekly CBT.,3,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"[""Cognitive-Behavioral Therapy"", ""Serotonin Reuptake Inhibitor medication""]",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Suveg 2006.pdf,Suveg 2006,Type of treatments,two_llms_agree_legacy_diff,high,"""CBT; emotion-focused""","[""cognitive behavioral therapy"", ""emotion-focused""]","""Emotion-focused Cognitive-Behavioral Therapy (ECBT)""","[""emotion-focused cognitive-behavioral therapy""]","[""Emotion-focused Cognitive-Behavioral Therapy (ECBT)""]","[""emotion-focused cognitive-behavioral therapy""]",llm_a=llm_b; legacy differs,"[""Emotion-focused Cognitive-Behavioral Therapy (ECBT)""]",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,Examined the efficacy of an Emotion-focused Cognitive-Behavioral Therapy (ECBT) for six anxious youths ages 7-13 years.,1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"[""Emotion-focused Cognitive-Behavioral Therapy (ECBT)""]",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Waters 2008.pdf,Waters 2008,Type of treatments,two_llms_agree_legacy_diff,high,"""CBT+ interpersonal skills""","[""cognitive behavioral therapy"", ""interpersonal skills""]","[""Cognitive Behavioural Therapy (CBT)"", ""Interpersonal skills component (IP)""]","[""cognitive behavioral therapy"", ""interpersonal skills component""]","[""Cognitive Behavioural Therapy (CBT)"", ""Interpersonal Skills Component (IP)""]","[""cognitive behavioral therapy"", ""interpersonal skills component""]",llm_a=llm_b; legacy differs,"[""Cognitive Behavioural Therapy (CBT)"", ""Interpersonal Skills Component (IP)""]",gold_reviewed,codex_hitl_2026-05-17,PDF evidence supports LLM consensus; reviewed value accepted over legacy coding.,Cognitive Behavioural Therapy Combined with an Interpersonal Skills Component in the Treatment of Generalized Anxiety Disorder in Adolescent Females.,1,HITL batch: high-confidence LLM consensus verified against extracted PDF text.,"[""Cognitive Behavioural Therapy (CBT)"", ""Interpersonal Skills Component (IP)""]",llm_a+llm_b,high,candidate_legacy_error,check_pdf_llm_consensus_against_legacy,Both independent LLM extractions agree after normalization and differ from legacy coding.,no,,
Chevalier 2020 - Evaluation_of_a_treatment_of_sleep_relat.pdf,Chevalier 2020,Age,all_different,high,"""8to12yo""","[""8-12""]",null,[],"""7.96 to 12.39 years (M=9.64)""","[""7.96 to 12.39 years (m=9.64)""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Ehrenreich-May 2020.pdf,Ehrenreich-May 2020,Age,all_different,high,"[15, 14, 17]","[""14-17""]","[""older adolescents"", ""young adults""]","[""older adolescents"", ""young adults""]","""14-21 years""","[""14-21""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Gaynor 2008.pdf,Gaynor 2008,Age,all_different,high,"[14, 12, 15]","[""12-15""]","""adolescents""","[""adolescents""]","[""12 years 7 months"", ""14 years 4 months"", ""15 years 2 months"", ""18 years""]","[""12 years 7 months"", ""14 years 4 months"", ""15 years 2 months"", ""18""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Hagopian 1993.pdf,Hagopian 1993,Age,all_different,high,6,"[""6""]",6.75,"[""6.75""]","""6 years 9 months""","[""6 years 9 months""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
