pdf,study,field,status,priority,legacy_value_json,legacy_normalized_json,llm_a_value_json,llm_a_normalized_json,llm_b_value_json,llm_b_normalized_json,agreement_pattern,reviewed_value_json,decision_status,reviewer,decision_reason,evidence_quote,page,notes,suggested_value_json,suggested_source,suggestion_confidence,suggested_decision_status,review_action,suggestion_reason,needs_pdf_check,alignment_issue,alignment_evidence
Olivier 2021.pdf,Olivier 2021,Quality rating RoBiNT scale,all_different,high,"""14, 3, 11""","[""14, 3, 11""]",null,[],"""Total: 12/15, Internal validity: NR, External validity: NR""","[""total: 12/15, internal validity: nr, external validity: nr""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Bechor 2014.pdf,Bechor 2014,Sample type,all_different,high,"""Oth""","[""other""]",null,[],"""Ref""","[""referred""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Carlson 1999.pdf,Carlson 1999,Sample type,all_different,high,"""Rec""","[""recruited""]",null,[],"""Referred/Ref""","[""referred""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Cowart 2011.pdf,Cowart 2011,Sample type,all_different,high,"""Rec""","[""recruited""]",null,[],"""Combination/Com""","[""combination""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Ehrenreich-May 2020.pdf,Ehrenreich-May 2020,Sample type,all_different,high,"""NR""","[""not reported""]",null,[],"""Ref""","[""referred""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Farrell 2021- Virtual reality one-session treatment of child-specific phobia of dogs.pdf,Farrell 2021,Sample type,all_different,high,"""Rec""","[""recruited""]",null,[],"""Referred/Ref""","[""referred""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Francis 2021.pdf,Francis 2021,Sample type,all_different,high,"""Rec""","[""recruited""]",null,[],"""Referred/Ref""","[""referred""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Garcia 2020 - INTERVENCION_MEDIANTE_EXPOSICION.pdf,Ruiz Garcia 2020,Sample type,all_different,high,"""Rec""","[""recruited""]",null,[],"""Referred/Ref""","[""referred""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Girling-Butcher 2009.pdf,Girling-Butcher 2009,Sample type,all_different,high,"""Rec""","[""recruited""]",null,[],"""Ref""","[""referred""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Hagopian 1993.pdf,Hagopian 1993,Sample type,all_different,high,"""NR""","[""not reported""]",null,[],"""Ref""","[""referred""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Jarrett 2012.pdf,Jarrett 2012,Sample type,all_different,high,"""Rec""","[""recruited""]",null,[],"""Referred/Ref""","[""referred""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Lewis 2015.pdf,Lewis 2015,Sample type,all_different,high,"""Rec""","[""recruited""]",null,[],"""Other""","[""other""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Malboeuf-Hurtubise 2017.pdf,Malboeuf-Hurtubise 2017,Sample type,all_different,high,"""Rec""","[""recruited""]",null,[],"""Ref""","[""referred""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Nelissen 1995.pdf,Nelissen 1995,Sample type,all_different,high,"""NR""","[""not reported""]",null,[],"""Ref""","[""referred""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
O'Reilly 2008 -examination-of-a-social-problem-solving-intervention-to-treat-selective-mutism.pdf,O'Reilly 2008,Sample type,all_different,high,"""Rec""","[""recruited""]",null,[],"""Ref""","[""referred""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Oar 2015 - One session treatment for specific phobias.pdf,Oar 2015,Sample type,all_different,high,"""NR""","[""not reported""]",null,[],"""Referred/Ref""","[""referred""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Ollendick 1991.pdf,Ollendick 1991,Sample type,all_different,high,"""NR""","[""not reported""]",null,[],"""Referred/Ref""","[""referred""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Pasquinelli 2009 - The Efficacy of Treating Adolescent Depression with Interpersonal.pdf,Pasquinelli 2009,Sample type,all_different,high,"""Oth""","[""other""]",null,[],"""Ref""","[""referred""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Quero 2014 - Lastecnologasdelainformacinylacomunicacineneltratamientodelafobiaaanimalespequeosenlainfancia.pdf,Quero 2014,Sample type,all_different,high,"""Rec""","[""recruited""]",null,[],"""Ref""","[""referred""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Reuland 2014.pdf,Reuland 2014,Sample type,all_different,high,"""Rec""","[""recruited""]",null,[],"""Referred/Ref""","[""referred""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Saigh 1987.pdf,Saigh 1987,Sample type,all_different,high,"""Rec""","[""recruited""]",null,[],"""Ref""","[""referred""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Taylor 2011.pdf,Taylor 2011,Sample type,all_different,high,"""Rec""","[""recruited""]",null,[],"""Referred/Ref""","[""referred""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Barterian 2018 - An Examination of Fluoxetine for the Treatment of Selective Mutism Using a Nonconcurrent Multiple-Baseline Single-Case Design Across 5 Cases.pdf,Barterian 2018,Setting,all_different,high,"""UC""","[""university clinic""]",null,[],"""Outpatient Psychiatric Center/OPC""","[""outpatient psychiatric center""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Carlson 1999.pdf,Carlson 1999,Setting,all_different,high,"""S""","[""school""]",null,[],"""Outpatient Psychiatric Center/OPC""","[""outpatient psychiatric center""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Chevalier 2020 - Evaluation_of_a_treatment_of_sleep_relat.pdf,Chevalier 2020,Setting,all_different,high,"""OPC/UC""","[""outpatient psychiatric center"", ""university clinic""]",null,[],"""OPC""","[""outpatient psychiatric center""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Eckshtain 2009 - Assessing Outcome in Cognitive Behavior Therapy for Child Depression  An Illustrative Case Series.pdf,Eckshtain 2009,Setting,all_different,high,"""UC""","[""university clinic""]",null,[],"""Outpatient Psychiatric Center/OPC""","[""outpatient psychiatric center""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Ehrenreich-May 2020.pdf,Ehrenreich-May 2020,Setting,all_different,high,"""NR""","[""not reported""]",null,[],"""UC""","[""university clinic""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Eisen 1998 - Prescriptive treatment for generalized anxiety disorder in children.pdf,Eisen 1998,Setting,all_different,high,"""UC""","[""university clinic""]",null,[],"""OPC""","[""outpatient psychiatric center""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Farrell 2021- Virtual reality one-session treatment of child-specific phobia of dogs.pdf,Farrell 2021,Setting,all_different,high,"""NR""","[""not reported""]",null,[],"""University clinic/UC""","[""university clinic""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Gaynor 2008.pdf,Gaynor 2008,Setting,all_different,high,"""NR""","[""not reported""]",null,[],"""Other/OTH""","[""other""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Hagopian 1993.pdf,Hagopian 1993,Setting,all_different,high,"""NR""","[""not reported""]",null,[],"""UC""","[""university clinic""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Howard-Kendall 1996.pdf,Howard-Kendall 1996,Setting,all_different,high,"""UC""","[""university clinic""]",null,[],"""OPC""","[""outpatient psychiatric center""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Leger 2003.pdf,Leger 2003,Setting,all_different,high,"""NR""","[""not reported""]",null,[],"""Other/OTH""","[""other""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Lewis 2015.pdf,Lewis 2015,Setting,all_different,high,"""NR""","[""not reported""]",null,[],"""Other""","[""other""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Lumpkin 2002.pdf,Lumpkin 2002,Setting,all_different,high,"""OPC""","[""outpatient psychiatric center""]",null,[],"""OTH""","[""other""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Maric 2015 - Evaluating statistical and clinical significance of intervention effects in single-case. experimental designs.pdf,Maric 2015,Setting,all_different,high,"""UC""","[""university clinic""]",null,[],"""Outpatient Psychiatric Center/OPC""","[""outpatient psychiatric center""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Mayer-Brien 2017.pdf,Mayer-Brien 2017,Setting,all_different,high,"""NR""","[""not reported""]",null,[],"""OTH""","[""other""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Nelissen 1995.pdf,Nelissen 1995,Setting,all_different,high,"""NR""","[""not reported""]",null,[],"""UC""","[""university clinic""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Ollendick 1991.pdf,Ollendick 1991,Setting,all_different,high,"""NR""","[""not reported""]",null,[],"""University clinic/UC""","[""university clinic""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Ortega 2012.pdf,Ortega 2012,Setting,all_different,high,"""UC""","[""university clinic""]",null,[],"""UC, OPC, S""","[""outpatient psychiatric center"", ""school"", ""university clinic""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Pathak 2005.pdf,Pathak 2005,Setting,all_different,high,"""OTH""","[""other""]",null,[],"""Outpatient Psychiatric Center/OPC""","[""outpatient psychiatric center""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Quero 2014 - Lastecnologasdelainformacinylacomunicacineneltratamientodelafobiaaanimalespequeosenlainfancia.pdf,Quero 2014,Setting,all_different,high,"""UC""","[""university clinic""]",null,[],"""OTH""","[""other""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Radtke 2022.pdf,Radtke 2022,Setting,all_different,high,"""UC""","[""university clinic""]",null,[],"""Outpatient Psychiatric Center/OPC""","[""outpatient psychiatric center""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Reuland 2014.pdf,Reuland 2014,Setting,all_different,high,"""UC""","[""university clinic""]",null,[],"""Outpatient Psychiatric Center/OPC""","[""outpatient psychiatric center""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Saigh 1987.pdf,Saigh 1987,Setting,all_different,high,"""OPC""","[""outpatient psychiatric center""]",null,[],"""OTH""","[""other""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Suveg 2006.pdf,Suveg 2006,Setting,all_different,high,"""UC""","[""university clinic""]",null,[],"""Outpatient Psychiatric Center/OPC""","[""outpatient psychiatric center""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Chevalier 2020 - Evaluation_of_a_treatment_of_sleep_relat.pdf,Chevalier 2020,Total Number of Observations,all_different,high,"[33, 30, 48, 49, 27, 35, 42, 34, 36, 22]","[""22"", ""27"", ""30"", ""33"", ""34"", ""35"", ""36"", ""42"", ""48"", ""49""]",null,[],"""varies per participant, daily data across baseline, treatment, post-treatment, and follow-up weeks""","[""varies per participant, daily data across baseline, treatment, post-treatment, and follow-up weeks""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Choate 2005.pdf,Choate 2005,Total Number of Observations,all_different,high,"[21, 26, 32]","[""21"", ""26"", ""32""]",null,[],"""multiple weekly observations over baseline, treatment, and follow-up phases""","[""multiple weekly observations over baseline, treatment, and follow-up phases""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Chorpita 1996 - A systematic replication of the prescriptive treatment of school refusal behavior in a single subject.pdf,Chorpita 1996,Total Number of Observations,all_different,high,74,"[""74""]",null,[],70,"[""70""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Cowart 2011.pdf,Cowart 2011,Total Number of Observations,all_different,high,"[13, 15]","[""13"", ""15""]",null,[],18,"[""18""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Eckshtain 2009 - Assessing Outcome in Cognitive Behavior Therapy for Child Depression  An Illustrative Case Series.pdf,Eckshtain 2009,Total Number of Observations,all_different,high,"[21, 20, 22, 14, 24]","[""14"", ""20"", ""21"", ""22"", ""24""]",null,[],"""multiple repeated measures per participant across baseline, treatment, and follow-up""","[""multiple repeated measures per participant across baseline, treatment, and follow-up""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Ehrenreich-May 2020.pdf,Ehrenreich-May 2020,Total Number of Observations,all_different,high,"[22, 24, 15]","[""15"", ""22"", ""24""]",null,[],"""NR""","[""not reported""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Eisen 1998 - Prescriptive treatment for generalized anxiety disorder in children.pdf,Eisen 1998,Total Number of Observations,all_different,high,"[13, 15, 26]","[""13"", ""15"", ""26""]",null,[],"""NR""","[""not reported""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Esveldt-Dawson 1982.pdf,Esveldt-Dawson 1982,Total Number of Observations,all_different,high,23,"[""23""]",null,[],"""multiple daily assessments across 23 sessions plus probe assessments""","[""multiple daily assessments across 23 sessions plus probe assessments""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Farrell 1998 - Cognitive behavioral interventions for sexually abused children exhibiting PTSD symptomatology.pdf,Farrell 1998,Total Number of Observations,all_different,high,"[13, 14, 16]","[""13"", ""14"", ""16""]",null,[],"""multiple per participant across baseline, treatment, and follow-up""","[""multiple per participant across baseline, treatment, and follow-up""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Farrell 2021- Virtual reality one-session treatment of child-specific phobia of dogs.pdf,Farrell 2021,Total Number of Observations,all_different,high,"[9, 8, 10]","[""10"", ""8"", ""9""]",null,[],"""Multiple weekly assessments over 2, 3, or 4 week baselines plus post and 1-month follow-up""","[""multiple weekly assessments over 2, 3, or 4 week baselines plus post and 1-month follow-up""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Feather 2009.pdf,Feather 2009,Total Number of Observations,all_different,high,"[19, 11, 18, 16, 26]","[""11"", ""16"", ""18"", ""19"", ""26""]",null,[],"""varied per participant, weekly assessments over baseline and treatment phases""","[""varied per participant, weekly assessments over baseline and treatment phases""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Fernandez 2013.pdf,Fernandez 2013,Total Number of Observations,all_different,high,5,"[""5""]",null,[],"[6, 6]","[""6""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Garcia 2020 - INTERVENCION_MEDIANTE_EXPOSICION.pdf,Ruiz Garcia 2020,Total Number of Observations,all_different,high,6,"[""6""]",null,[],"""multiple observations across 6 sessions plus pre, post, and two follow-ups""","[""multiple observations across 6 sessions plus pre, post, and two follow-ups""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Gaynor 2008.pdf,Gaynor 2008,Total Number of Observations,all_different,high,"[17, 19]","[""17"", ""19""]",null,[],"""multiple repeated measures per participant across baseline, pre-VBBA, VBBA, posttreatment, and follow-up phases""","[""multiple repeated measures per participant across baseline, pre-vbba, vbba, posttreatment, and follow-up phases""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Girling-Butcher 2009.pdf,Girling-Butcher 2009,Total Number of Observations,all_different,high,"[8, 11]","[""11"", ""8""]",null,[],4,"[""4""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Jarrett 2012.pdf,Jarrett 2012,Total Number of Observations,all_different,high,"[13, 14, 15]","[""13"", ""14"", ""15""]",null,[],"""20 per subject""","[""20 per subject""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Lewis 2015.pdf,Lewis 2015,Total Number of Observations,all_different,high,"[4, 5, 6]","[""4"", ""5"", ""6""]",null,[],"""Not reported""","[""not reported""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Mayer-Brien 2017.pdf,Mayer-Brien 2017,Total Number of Observations,all_different,high,"[17, 23, 25, 19, 20]","[""17"", ""19"", ""20"", ""23"", ""25""]",null,[],"""varied per participant, daily diaries over baseline and treatment phases""","[""varied per participant, daily diaries over baseline and treatment phases""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Olivier 2021.pdf,Olivier 2021,Total Number of Observations,all_different,high,25,"[""25""]",null,[],9,"[""9""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Ollendick 1995.pdf,Ollendick 1995,Total Number of Observations,all_different,high,"[10, 12]","[""10"", ""12""]",null,[],"""NR""","[""not reported""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Ortega 2012.pdf,Ortega 2012,Total Number of Observations,all_different,high,"[12, 14, 8, 6]","[""12"", ""14"", ""6"", ""8""]",null,[],"""varied per participant, weekly observations across multiple conditions""","[""varied per participant, weekly observations across multiple conditions""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Pasquinelli 2009 - The Efficacy of Treating Adolescent Depression with Interpersonal.pdf,Pasquinelli 2009,Total Number of Observations,all_different,high,"[15, 16, 17]","[""15"", ""16"", ""17""]",null,[],4,"[""4""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Quero 2014 - Lastecnologasdelainformacinylacomunicacineneltratamientodelafobiaaanimalespequeosenlainfancia.pdf,Quero 2014,Total Number of Observations,all_different,high,"[18, 17]","[""17"", ""18""]",null,[],"""27 (14 days baseline P1, 13 days baseline P2)""","[""27""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Radtke 2022.pdf,Radtke 2022,Total Number of Observations,all_different,high,8,"[""8""]",null,[],7,"[""7""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Ravid 2021.pdf,Ravid 2021,Total Number of Observations,all_different,high,"[14, 11]","[""11"", ""14""]",null,[],"""Not explicitly stated, data collected daily over multiple weeks per case""","[""not explicitly stated, data collected daily over multiple weeks per case""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Reuland 2014.pdf,Reuland 2014,Total Number of Observations,all_different,high,"[7, 8, 5, 6, 10]","[""10"", ""5"", ""6"", ""7"", ""8""]",null,[],18,"[""18""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Saigh 1987.pdf,Saigh 1987,Total Number of Observations,all_different,high,"[27, 30]","[""27"", ""30""]",null,[],"""NR""","[""not reported""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Tolin 2009.pdf,Tolin 2009,Total Number of Observations,all_different,high,"[27, 42, 58]","[""27"", ""42"", ""58""]",null,[],"""varied daily observations per case, exact number not specified""","[""varied daily observations per case, exact number not specified""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Yorke 2013 - Equine-assisted therapy and its impact on cortisol levels of children and horses  a pilot study and meta-analysis.pdf,Yorke 2013,Total Number of Observations,all_different,high,"[33, 32, 38, 36]","[""32"", ""33"", ""36"", ""38""]",12,"[""12""]","""Not explicitly stated, multiple samples per day over 12 days for 4 child-horse pairs""","[""not explicitly stated, multiple samples per day over 12 days for 4 child-horse pairs""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Choate 2005.pdf,Choate 2005,Treatment directed at,all_different,high,"""parent""","[""parent""]",null,[],"""child and parent""","[""child and parent""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Cooper-Vince 2016.pdf,Cooper-Vince 2016,Treatment directed at,all_different,high,"""parent""","[""parent""]",null,[],"""child and parent""","[""child and parent""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Garcia 2020 - INTERVENCION_MEDIANTE_EXPOSICION.pdf,Ruiz Garcia 2020,Treatment directed at,all_different,high,"""child and parent""","[""child and parent""]",null,[],"""child""","[""child""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Gaynor 2008.pdf,Gaynor 2008,Treatment directed at,all_different,high,"[""child and parent"", ""child""]","[""child"", ""child and parent""]",null,[],"""child and parent""","[""child and parent""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Oar 2015 - One session treatment for specific phobias.pdf,Oar 2015,Treatment directed at,all_different,high,"[""child"", ""child and parent""]","[""child"", ""child and parent""]",null,[],"""child and parent""","[""child and parent""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Olivier 2021.pdf,Olivier 2021,Treatment directed at,all_different,high,"""child""","[""child""]",null,[],"""child and parent""","[""child and parent""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Ollendick 1991.pdf,Ollendick 1991,Treatment directed at,all_different,high,"""child""","[""child""]",null,[],"""child and parent""","[""child and parent""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Reuland 2014.pdf,Reuland 2014,Treatment directed at,all_different,high,"[""child and parent"", ""child"", ""parent""]","[""child"", ""child and parent"", ""parent""]",null,[],"""child and parent""","[""child and parent""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Yorke 2013 - Equine-assisted therapy and its impact on cortisol levels of children and horses  a pilot study and meta-analysis.pdf,Yorke 2013,Treatment directed at,all_different,high,"""child""","[""child""]",null,[],"""child and horse""","[""child and horse""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Barterian 2018 - An Examination of Fluoxetine for the Treatment of Selective Mutism Using a Nonconcurrent Multiple-Baseline Single-Case Design Across 5 Cases.pdf,Barterian 2018,Treatment length,all_different,high,"[12, 11, 10, 9, 8]","[""10"", ""11"", ""12"", ""8"", ""9""]",null,[],"""15 weeks""","[""15""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Bowyer 2014.pdf,Bowyer 2014,Treatment length,all_different,high,"""NR""","[""not reported""]",null,[],"""8 months""","[""8 months""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Carlson 1999.pdf,Carlson 1999,Treatment length,all_different,high,"[12, 10, 11, 9]","[""10"", ""11"", ""12"", ""9""]",null,[],"""16 weeks""","[""16""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Cunningham 2009.pdf,Cunningham 2009,Treatment length,all_different,high,"[12, 4]","[""12"", ""4""]",null,[],"""12 weeks""","[""12""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Eckshtain 2009 - Assessing Outcome in Cognitive Behavior Therapy for Child Depression  An Illustrative Case Series.pdf,Eckshtain 2009,Treatment length,all_different,high,12,"[""12""]",null,[],"""Up to 13 individual sessions and 7 caregiver sessions""","[""up to 13 individual sessions and 7 caregiver sessions""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Ehrenreich 2009.pdf,Ehrenreich 2009,Treatment length,all_different,high,17,"[""17""]",null,[],"""13 sessions (initial study), 16 sessions (revised protocol)""","[""13 sessions (initial study), 16 sessions (revised protocol)""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
Ehrenreich-May 2020.pdf,Ehrenreich-May 2020,Treatment length,all_different,high,"[16, 12]","[""12"", ""16""]",null,[],"""Approximately 16 weeks""","[""16""]",all available non-empty values differ,,,,,,,,,,none,,manual_pdf_review,All available source values differ; source PDF review required before choosing a value.,yes,,
